Gene1	Gene2	Cooccurring_Cases	Gene1_only	Gene2_only	Neither	Odds_Ratio	P_value	FDR	Significant_FDR_0.05
APC	TP53	290	142	55	96	3.564660691421255	6.526684202618528e-11	1.8274715767331878e-09	True
KRAS	BRAF	6	240	61	276	0.11311475409836065	3.525983310601461e-10	3.708903365605409e-09	True
APC	BRAF	27	405	40	111	0.185	3.9738250345772234e-10	3.708903365605409e-09	True
TP53	PIK3CA	65	280	84	154	0.4255952380952381	1.2184646382241764e-05	7.542316025438516e-05	True
KRAS	PIK3CA	86	160	63	274	2.337698412698413	1.3468421473997349e-05	7.542316025438516e-05	True
APC	KRAS	203	229	43	108	2.226464913171524	8.065454982198855e-05	0.00037638789916927983	True
TP53	BRAF	25	320	42	196	0.3645833333333333	0.0001777204405526725	0.0007108817622106899	True
KRAS	NRAS	5	241	31	306	0.2047918618658814	0.00034891121555118935	0.0012211892544291628	True
FBXW7	BRAF	22	75	45	441	2.8746666666666667	0.0006830073699093486	0.002124911817495751	True
PIK3CA	SMAD4	28	121	42	392	2.159779614325069	0.0051288315907389356	0.014360728454069018	True
APC	NRAS	33	399	3	148	4.080200501253133	0.010342113818376311	0.02554813345817657	True
PIK3CA	FBXW7	35	114	62	372	1.8421052631578947	0.010949200053504245	0.02554813345817657	True
KRAS	SMAD4	38	208	32	305	1.7412860576923077	0.03841582575416734	0.08274177854743735	False
PIK3CA	BRAF	24	125	43	391	1.745860465116279	0.05210078463218821	0.10420156926437642	False
TP53	KRAS	138	207	108	130	0.8024691358024691	0.20177435323341436	0.37664545936904015	False
TP53	FBXW7	52	293	45	193	0.761167993932499	0.25787025005430947	0.45127293759504156	False
FBXW7	NRAS	8	89	28	458	1.4703049759229534	0.3561635857830277	0.5565621253014661	False
KRAS	FBXW7	45	201	52	285	1.2270378874856487	0.36964298282481256	0.5565621253014661	False
BRAF	NRAS	2	65	34	482	0.43619909502262444	0.4145200068122141	0.5565621253014661	False
SMAD4	NRAS	6	64	30	483	1.509375	0.4225439839664966	0.5565621253014661	False
SMAD4	BRAF	10	60	57	456	1.3333333333333333	0.4257874276184314	0.5565621253014661	False
PIK3CA	NRAS	7	142	29	405	0.6884409907722195	0.4372988127368662	0.5565621253014661	False
APC	PIK3CA	114	318	35	116	1.1881401617250673	0.5155823162129579	0.6276654284331662	False
APC	FBXW7	74	358	23	128	1.1503521982025746	0.703417686730423	0.8199340672389216	False
FBXW7	SMAD4	10	87	60	426	0.8160919540229885	0.7320839886061801	0.8199340672389216	False
TP53	SMAD4	40	305	30	208	0.9092896174863389	0.7956118285679712	0.8568127384578152	False
APC	SMAD4	53	379	17	134	1.102281545863728	0.8844098290436271	0.9171657486378355	False
TP53	NRAS	21	324	15	223	0.9635802469135802	1.0	1.0	False
