Gene	COAD_cases	COAD_percent	READ_cases	READ_percent
APC	307	71.729	125	80.6452
TP53	234	54.6729	111	71.6129
TTN	203	47.4299	62	40
KRAS	183	42.757	63	40.6452
PIK3CA	127	29.6729	22	14.1935
SYNE1	123	28.7383	34	21.9355
MUC16	122	28.5047	28	18.0645
FAT4	102	23.8318	26	16.7742
RYR2	86	20.0935	25	16.129
ZFHX4	86	20.0935	17	10.9677
OBSCN	84	19.6262	17	10.9677
DNAH5	81	18.9252	13	8.3871
CSMD3	80	18.6916	17	10.9677
LRP1B	76	17.757	23	14.8387
PCLO	73	17.0561	11	7.09677
FBXW7	71	16.5888	26	16.7742
RYR3	71	16.5888	11	7.09677
USH2A	70	16.3551	13	8.3871
DNAH11	69	16.1215	18	11.6129
ABCA13	67	15.6542	14	9.03226
CSMD1	66	15.4206	23	14.8387
RYR1	66	15.4206	15	9.67742
ADGRV1	65	15.1869	11	7.09677
FAT3	65	15.1869	19	12.2581
BRAF	62	14.486	5	3.22581
DST	62	14.486	11	7.09677
RNF43	61	14.2523	4	2.58065
SOX9	61	14.2523	11	7.09677
DOCK3	60	14.0187	8	5.16129
LRP2	60	14.0187	11	7.09677
MDN1	60	14.0187	7	4.51613
KMT2D	59	13.785	7	4.51613
AMER1	58	13.5514	13	8.3871
CACNA1E	58	13.5514	14	9.03226
CSMD2	58	13.5514	10	6.45161
PCDH15	58	13.5514	8	5.16129
SDK1	58	13.5514	9	5.80645
DMD	57	13.3178	12	7.74194
ARID1A	56	13.0841	11	7.09677
ATM	55	12.8505	15	9.67742
HMCN1	55	12.8505	11	7.09677
KIAA1109	55	12.8505	8	5.16129
MUC5B	55	12.8505	9	5.80645
SYNE2	55	12.8505	11	7.09677
ANK3	54	12.6168	9	5.80645
FLG	53	12.3832	16	10.3226
HYDIN	53	12.3832	16	10.3226
SACS	53	12.3832	18	11.6129
ANK2	52	12.1495	10	6.45161
TRPS1	52	12.1495	11	7.09677
BMPR2	51	11.9159	2	1.29032
KMT2B	51	11.9159	7	4.51613
SPTA1	51	11.9159	15	9.67742
TNXB	51	11.9159	4	2.58065
VPS13B	51	11.9159	8	5.16129
DNAH10	50	11.6822	13	8.3871
DNAH8	50	11.6822	12	7.74194
DSCAM	50	11.6822	6	3.87097
HERC2	50	11.6822	7	4.51613
KMT2C	50	11.6822	7	4.51613
XIRP2	50	11.6822	14	9.03226
ZFHX3	50	11.6822	4	2.58065
ACVR2A	49	11.4486	8	5.16129
MYCBP2	49	11.4486	9	5.80645
ROBO2	49	11.4486	12	7.74194
COL12A1	48	11.215	13	8.3871
COL6A3	48	11.215	9	5.80645
DNAH3	48	11.215	8	5.16129
MACF1	48	11.215	10	6.45161
NBEA	48	11.215	15	9.67742
PCDH17	48	11.215	13	8.3871
UNC13C	48	11.215	14	9.03226
AHNAK2	47	10.9813	14	9.03226
CUBN	47	10.9813	7	4.51613
SMAD4	47	10.9813	23	14.8387
TENM3	47	10.9813	11	7.09677
COL5A1	46	10.7477	3	1.93548
DNAH2	46	10.7477	11	7.09677
FAT2	46	10.7477	7	4.51613
FRY	46	10.7477	8	5.16129
DNAH17	45	10.514	10	6.45161
DSCAML1	45	10.514	6	3.87097
LAMA2	45	10.514	7	4.51613
LRP1	45	10.514	8	5.16129
NALCN	45	10.514	10	6.45161
NRXN1	45	10.514	10	6.45161
PCDH9	45	10.514	8	5.16129
PRKDC	45	10.514	8	5.16129
TSHZ3	45	10.514	7	4.51613
ZNF536	45	10.514	8	5.16129
DNAH7	44	10.2804	15	9.67742
FAT1	44	10.2804	9	5.80645
FCGBP	44	10.2804	8	5.16129
FLNC	44	10.2804	4	2.58065
HECTD4	44	10.2804	8	5.16129
LAMA1	44	10.2804	5	3.22581
LRRK2	44	10.2804	11	7.09677
MXRA5	44	10.2804	11	7.09677
NAV3	44	10.2804	9	5.80645
NFASC	44	10.2804	3	1.93548
RNF213	44	10.2804	10	6.45161
BSN	43	10.0467	8	5.16129
COL11A1	43	10.0467	7	4.51613
DNAH9	43	10.0467	8	5.16129
ERBB4	43	10.0467	12	7.74194
HECW1	43	10.0467	12	7.74194
IGF2R	43	10.0467	5	3.22581
PCDH10	43	10.0467	5	3.22581
RELN	43	10.0467	11	7.09677
SCN1A	43	10.0467	5	3.22581
SRCAP	43	10.0467	8	5.16129
TENM1	43	10.0467	13	8.3871
UNC79	43	10.0467	6	3.87097
AKAP9	42	9.81308	9	5.80645
ASPM	42	9.81308	9	5.80645
DNAH1	42	9.81308	5	3.22581
DYNC2H1	42	9.81308	12	7.74194
FNDC1	42	9.81308	8	5.16129
FREM2	42	9.81308	13	8.3871
MUC17	42	9.81308	8	5.16129
NIPBL	42	9.81308	6	3.87097
TNC	42	9.81308	5	3.22581
ZNF831	42	9.81308	6	3.87097
CACNA1H	41	9.57944	4	2.58065
CHD7	41	9.57944	4	2.58065
DYSF	41	9.57944	10	6.45161
FRYL	41	9.57944	8	5.16129
GRIK2	41	9.57944	8	5.16129
