Gene	COAD_cases	COAD_percent	READ_cases	READ_percent	Total_cases	Overall_percent
APC	307	71.729	125	80.6452	432	74.0995
TP53	234	54.6729	111	71.6129	345	59.1767
TTN	203	47.4299	62	40	265	45.4545
KRAS	183	42.757	63	40.6452	246	42.1955
SYNE1	123	28.7383	34	21.9355	157	26.9297
MUC16	122	28.5047	28	18.0645	150	25.729
PIK3CA	127	29.6729	22	14.1935	149	25.5575
FAT4	102	23.8318	26	16.7742	128	21.9554
RYR2	86	20.0935	25	16.129	111	19.0395
ZFHX4	86	20.0935	17	10.9677	103	17.6672
OBSCN	84	19.6262	17	10.9677	101	17.3242
LRP1B	76	17.757	23	14.8387	99	16.9811
CSMD3	80	18.6916	17	10.9677	97	16.6381
FBXW7	71	16.5888	26	16.7742	97	16.6381
DNAH5	81	18.9252	13	8.3871	94	16.1235
CSMD1	66	15.4206	23	14.8387	89	15.2659
DNAH11	69	16.1215	18	11.6129	87	14.9228
FAT3	65	15.1869	19	12.2581	84	14.4082
PCLO	73	17.0561	11	7.09677	84	14.4082
USH2A	70	16.3551	13	8.3871	83	14.2367
RYR3	71	16.5888	11	7.09677	82	14.0652
ABCA13	67	15.6542	14	9.03226	81	13.8937
RYR1	66	15.4206	15	9.67742	81	13.8937
NEB	64	14.9533	15	9.67742	79	13.5506
ADGRV1	65	15.1869	11	7.09677	76	13.036
DST	62	14.486	11	7.09677	73	12.5214
CACNA1E	58	13.5514	14	9.03226	72	12.3499
SOX9	61	14.2523	11	7.09677	72	12.3499
AMER1	58	13.5514	13	8.3871	71	12.1784
LRP2	60	14.0187	11	7.09677	71	12.1784
SACS	53	12.3832	18	11.6129	71	12.1784
ATM	55	12.8505	15	9.67742	70	12.0069
SMAD4	47	10.9813	23	14.8387	70	12.0069
DMD	57	13.3178	12	7.74194	69	11.8353
FLG	53	12.3832	16	10.3226	69	11.8353
HYDIN	53	12.3832	16	10.3226	69	11.8353
CSMD2	58	13.5514	10	6.45161	68	11.6638
